epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.826,0.61748,0.7925,0.98552,0.95849,0.97016,0.99182,0.84606,0.64738,0.93915,0.85084,0.00052,0.00052,0.00052
2,289.335,0.59543,0.73693,0.96883,0.99036,0.9916,0.99029,0.81198,0.6992,0.89925,0.87662,0.0007102,0.0007102,0.0007102
3,409.803,0.61946,0.74247,0.9775,0.96747,0.99957,0.99433,0.85761,0.57587,0.73562,0.81546,0.000544,0.000544,0.000544
