epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8261,1.37305,2.21858,1.31389,0.87392,0.94737,0.96932,0.72514,0.89434,1.20793,0.90698,6e-05,6e-05,6e-05
2,32.5009,0.81925,1.26679,0.98838,0.99701,1,0.995,0.84799,0.63621,0.83427,0.79959,9.38e-05,9.38e-05,9.38e-05
3,46.9744,0.60408,2.59138,0.74089,0.99623,1,0.995,0.86247,0.61233,0.76639,0.7989,7.48e-05,7.48e-05,7.48e-05
