epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.3473,1.10867,1.6861,1.33558,0.92172,0.89049,0.95291,0.72371,0.87339,1.45046,0.99017,0.00052,0.00052,0.00052
2,106.672,0.73914,0.97965,1.06104,0.9432,0.8372,0.95572,0.7196,0.84216,1.35769,0.98205,0.0007102,0.0007102,0.0007102
3,159.333,0.72775,0.91606,1.03372,0.99063,0.888,0.97102,0.80451,0.73051,1.07695,0.88349,0.000544,0.000544,0.000544
