epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.549,0.42499,0.49217,0.91517,0.98567,0.98621,0.9813,0.83621,0.7027,0.68538,0.84827,0.00048,0.00048,0.00048
2,273.22,0.50673,0.52814,0.93519,0.92113,0.9931,0.95616,0.77273,0.75016,0.85532,0.90898,0.0006566,0.0006566,0.0006566
3,392.117,0.45132,0.48639,0.92731,0.99259,0.9931,0.99452,0.88957,0.60417,0.58794,0.80551,0.0005032,0.0005032,0.0005032
