epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2257,1.26743,1.35658,1.17159,0.99694,1,0.995,0.80784,0.73408,0.6585,0.82706,6e-05,6e-05,6e-05
2,48.994,0.73472,1.04402,0.92866,0.99724,1,0.995,0.86275,0.58957,0.61606,0.75881,9.38e-05,9.38e-05,9.38e-05
3,73.9445,0.56045,2.8819,0.70822,0.99725,1,0.995,0.85414,0.56565,0.62243,0.74825,7.48e-05,7.48e-05,7.48e-05
