epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.316,0.53261,0.57888,0.98423,1,0.98194,0.99466,0.8114,0.94934,0.93963,0.94702,0.00056,0.00056,0.00056
2,295.045,0.5669,0.58841,0.99474,0.95108,0.99415,0.98622,0.78527,1.24686,1.30377,1.12014,0.0007638,0.0007638,0.0007638
3,412.96,0.56403,0.5564,0.97856,0.98793,0.95763,0.98369,0.7747,1.09675,1.14776,1.02978,0.0005848,0.0005848,0.0005848
