epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8512,1.17897,1.30734,1.09704,0.99681,0.94737,0.9863,0.81915,0.77676,0.80449,0.88718,6e-05,6e-05,6e-05
2,42.2202,0.85377,0.97684,0.97547,0.9702,1,0.995,0.84505,0.66814,0.73957,0.84305,9.38e-05,9.38e-05,9.38e-05
3,63.644,0.59143,2.37807,0.73068,0.98237,1,0.995,0.83665,0.63806,0.68482,0.81781,7.48e-05,7.48e-05,7.48e-05
