epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1336,1.46769,1.57973,1.33352,0.99704,1,0.995,0.81907,0.74164,0.72992,0.82094,6e-05,6e-05,6e-05
2,45.6507,0.88577,1.16668,0.948,0.99733,1,0.995,0.84806,0.57038,0.70427,0.74646,9.38e-05,9.38e-05,9.38e-05
3,68.0442,0.57486,2.93086,0.71538,0.99728,1,0.995,0.85874,0.56662,0.68532,0.74338,7.48e-05,7.48e-05,7.48e-05
