epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.528,0.47941,0.54266,0.9163,1,0.9902,0.995,0.84684,0.61923,0.64717,0.81954,0.00052,0.00052,0.00052
2,279.227,0.50868,0.56404,0.92074,0.98912,0.97479,0.99375,0.82223,0.67079,0.66727,0.84671,0.0007102,0.0007102,0.0007102
3,400.143,0.58368,0.61609,0.95611,0.99022,0.9916,0.99282,0.85893,0.61326,0.60063,0.84933,0.000544,0.000544,0.000544
