epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.258,0.62059,0.63605,1.04085,0.96705,0.98246,0.99285,0.77073,1.03573,0.98989,1.02745,0.00056,0.00056,0.00056
2,285.853,0.58203,0.56246,1.0034,0.98712,0.89652,0.94918,0.72757,1.13194,1.3149,1.09812,0.0007638,0.0007638,0.0007638
3,400.499,0.55516,0.52774,0.97255,0.99372,0.96491,0.99387,0.82991,0.88649,0.75741,0.97698,0.0005848,0.0005848,0.0005848
