epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.706,0.45876,0.5183,0.92825,0.98498,0.98621,0.98847,0.86874,0.65752,0.67036,0.82744,0.00048,0.00048,0.00048
2,257.408,0.4908,0.50725,0.92523,0.99159,0.9931,0.99466,0.87643,0.59705,0.60199,0.79716,0.0006566,0.0006566,0.0006566
3,375.308,0.45482,0.46987,0.92154,0.99297,0.97449,0.98954,0.8938,0.56249,0.54836,0.77722,0.0005032,0.0005032,0.0005032
