epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.752,0.74494,0.93832,1.12088,0.91381,0.47953,0.64182,0.51548,1.21981,2.40637,1.15492,0.00056,0.00056,0.00056
2,203.015,0.61893,0.72001,1.01976,0.92481,0.93567,0.97621,0.70729,1.23945,1.2945,1.20434,0.0007638,0.0007638,0.0007638
3,285.835,0.58422,0.64931,0.98422,0.98508,0.97076,0.99295,0.82945,0.96235,1.09355,1.03173,0.0005848,0.0005848,0.0005848
