epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.802,0.46634,0.55118,0.93232,0.9931,0.99208,0.99348,0.885,0.65096,0.6958,0.81431,0.00048,0.00048,0.00048
2,269.779,0.50192,0.55312,0.92908,0.9468,0.98186,0.99249,0.84964,0.68297,0.7738,0.82467,0.0006566,0.0006566,0.0006566
3,386.431,0.47064,0.52228,0.92906,0.98618,0.98451,0.99083,0.87635,0.61294,0.66281,0.79902,0.0005032,0.0005032,0.0005032
