epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.096,0.54476,0.71693,0.97949,0.97211,0.98621,0.99275,0.85943,0.78221,0.88767,0.87515,0.00048,0.00048,0.00048
2,267.302,0.5292,0.65761,0.949,0.97574,0.77931,0.91908,0.79331,0.7089,1.42318,0.87876,0.0006566,0.0006566,0.0006566
3,388.592,0.48945,0.59457,0.93846,0.99021,0.98621,0.9946,0.87317,0.61343,0.82223,0.78676,0.0005032,0.0005032,0.0005032
