epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.697,0.54049,0.63287,0.93902,0.98295,0.96892,0.99417,0.8356,0.65784,0.79523,0.83843,0.00052,0.00052,0.00052
2,272.935,0.53553,0.62101,0.93555,0.99149,0.9916,0.99105,0.81828,0.69702,0.73461,0.84495,0.0007102,0.0007102,0.0007102
3,393.237,0.60233,0.65166,0.96698,0.99769,1,0.995,0.84974,0.60754,0.66688,0.83435,0.000544,0.000544,0.000544
