epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.783,0.49268,0.53005,0.96519,0.99165,0.97076,0.98906,0.7991,1.00381,0.92561,0.97372,0.00056,0.00056,0.00056
2,301.969,0.5686,0.56206,0.98855,0.96985,0.94055,0.98717,0.83677,1.09693,0.99454,0.96256,0.0007638,0.0007638,0.0007638
3,418.185,0.54434,0.53645,0.96881,0.94344,0.97551,0.9806,0.79418,0.99505,1.06626,0.98493,0.0005848,0.0005848,0.0005848
