epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.383,0.5115,0.55182,0.92667,0.98341,0.99653,0.9945,0.85124,0.62712,0.61962,0.8284,0.00052,0.00052,0.00052
2,263.678,0.52672,0.55871,0.92495,0.97297,0.9916,0.99192,0.82444,0.68238,0.68951,0.87453,0.0007102,0.0007102,0.0007102
3,381.96,0.58681,0.60906,0.9586,0.98247,0.9916,0.9932,0.8708,0.57727,0.57854,0.80223,0.000544,0.000544,0.000544
